"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:35:41,FALSE,NA,"1595214467125723136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CowanspaulPaul",1655,TRUE,FALSE,NA,NA
"2","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:35:04,FALSE,NA,"1595214313123454981",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CraigFo69062464",1655,TRUE,FALSE,NA,NA
"3","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:34:38,FALSE,NA,"1595214204939735043",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RDPSMITH",1655,TRUE,FALSE,NA,NA
"4","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:34:35,FALSE,NA,"1595214192595828737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sticksandco",1655,TRUE,FALSE,NA,NA
"5","@GOPChairwoman Nuclear for base load -asap. Reopen pipelines/fracking LNG for lowest FEASIBLE and Affordable low no… https://t.co/4SoekTTUCG",FALSE,0,"GOPChairwoman",2022-11-23 00:34:01,TRUE,"1595212283252121600","1595214047741636613","2353605901","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A4mSkyhawk65",0,FALSE,FALSE,NA,NA
"6","@RashmiDVS Qatar exports natural gas more than crude oil. But I get your point.",FALSE,0,"RashmiDVS",2022-11-23 00:33:35,FALSE,"1595102073687019522","1595213937829560320","199324867","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarmaYogi26",0,FALSE,FALSE,NA,NA
"7","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:32:06,FALSE,NA,"1595213564637110273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PrabhuGuptara",1655,TRUE,FALSE,NA,NA
"8","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:31:43,FALSE,NA,"1595213470055731201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","maudy100",1655,TRUE,FALSE,NA,NA
"9","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:31:35,FALSE,NA,"1595213438338441216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chicthomson",1655,TRUE,FALSE,NA,NA
"10","RT @premnsikka: Oil price is plunging; natural gas price is the lowest since August

But UK household energy price will rise by £500 in Apr…",FALSE,0,NA,2022-11-23 00:30:22,FALSE,NA,"1595213130468327426",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nick_carus",1655,TRUE,FALSE,NA,NA
