,author_id,text,created_at,id,edit_history_tweet_ids,lang
29,213057317,"@WorldBank @temiladesalami_ @EcoChampionsNG @UN's @ClubOfRome's First Global Revolution: ""searching for a new enemy to unite us, we came up with the idea that pollution, the threat of global warming, water shortages, famine and the like would fit the bill"" ""The real enemy, is humanity itself.” https://t.co/CD4nva99BX",2022-12-07T10:19:43.000Z,1600434875172986881,['1600434875172986881'],en
30,19110416,RT @washingtonpost: Why severe climate change is almost unstoppable now — and the few paths that remain https://t.co/ppi8kLRYPL,2022-12-07T10:19:36.000Z,1600434845783535617,['1600434845783535617'],en
31,1028213116155387904,"RT @fishparcel: Global warming? 🌍 Academic prowess? 📚, either way I’m getting 2 degrees hotter 💯✈️ https://t.co/q5WsFExt2t",2022-12-07T10:19:24.000Z,1600434794684248064,['1600434794684248064'],en
32,1243087701680807936,RT @Mealii_mohammed: Is Global Warming a threat to Human Existence?? Join us as we seek to find solutions to protecting life through tech f…,2022-12-07T10:19:23.000Z,1600434793136545792,['1600434793136545792'],en
33,822638834588459011,@TIME Global warming is a hoax don’t believe the lies,2022-12-07T10:19:11.000Z,1600434740598738944,['1600434740598738944'],en
34,753821322174566400,"RT @keisfangs: #MHASpoilers #MHA374 #BNHA374 

not the todorokis causing global warming https://t.co/ylIW0tbajc",2022-12-07T10:19:11.000Z,1600434740158681088,['1600434740158681088'],en
35,215711626,@HereKityKitKat @JunkScience @ABCaustralia The only way to stop global warming is to stop GHG emissions.,2022-12-07T10:19:07.000Z,1600434723255291905,['1600434723255291905'],en
36,1085592707521789952,"RT @Peterhulbert195: If you are driving this morning, make sure you scrape all the global warming off your windscreen before setting off.",2022-12-07T10:18:37.000Z,1600434597338107904,['1600434597338107904'],en
37,1166845920,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",2022-12-07T10:18:22.000Z,1600434533358190592,['1600434533358190592'],en
38,2904620983,@NetZeroWatch Peak irony is efforts to combat global warming result in blackouts from it being too cold.,2022-12-07T10:18:11.000Z,1600434489296973824,['1600434489296973824'],en
39,1574882526870511658,"Global Warming: A Very Short Introduction (Very Short Introductions) (English Edition) HLBFDOV

https://t.co/HzH88oE4Le https://t.co/btA4JzLKYo",2022-12-07T10:18:02.000Z,1600434452010008577,['1600434452010008577'],en
40,1000341786802511872,RT @washingtonpost: Why severe climate change is almost unstoppable now — and the few paths that remain https://t.co/ppi8kLRYPL,2022-12-07T10:17:40.000Z,1600434359575584768,['1600434359575584768'],en
41,996040003208826880,RT @washingtonpost: Why severe climate change is almost unstoppable now — and the few paths that remain https://t.co/ppi8kLRYPL,2022-12-07T10:16:49.000Z,1600434145502629896,['1600434145502629896'],en
42,1459622182355619847,"RT @Peterhulbert195: If you are driving this morning, make sure you scrape all the global warming off your windscreen before setting off.",2022-12-07T10:16:46.000Z,1600434133456527362,['1600434133456527362'],en
43,903352146489294848,@culturaltutor Effects of global warming,2022-12-07T10:16:42.000Z,1600434116796694529,['1600434116796694529'],en
44,1167008741730017280,"RT @rahmstorf: Oder lesen was mein Freund und Kollege Richard Alley zur ständigen Verfälschung seiner Daten sagt: „So, using GISP2 data to…",2022-12-07T10:16:40.000Z,1600434105618792449,['1600434105618792449'],de
45,1117846279135084544,RT @PublicPriestley: I had to scrape frost off my car windows this morning so I'm expecting a right wing commentator to suggest that becaus…,2022-12-07T10:16:36.000Z,1600434091706396674,['1600434091706396674'],en
46,608093835,"@d5_rss @Adyb82176144 You would think so. Personally, I would like to see government spend £Trillions on new reservoirs, better sea defenses, air conditioning in homes &amp; more solar panels. River dredging, forest fire breaks etc. Learning to live with global warming,NOT trying to turn back the tide.",2022-12-07T10:16:26.000Z,1600434049062883328,['1600434049062883328'],en
47,3371228349,"Human efforts to try and *safe the earth* (global warming) will only accelerate or be the reason why the earth ends up being destroyed. 
Humans are the reason the earth is deteriorating. 
Please leave mother earth alone, don’t try and safe it. The earth is self sustaining😒😒😒",2022-12-07T10:16:11.000Z,1600433985800220672,['1600433985800220672'],en
48,215711626,"@pamg8tr @JunkScience @logic_101 @ABCaustralia Do you like being wrong, I think you must. All year round is global warming and local climate change.  Not hard really",2022-12-07T10:16:05.000Z,1600433960567197696,['1600433960567197696'],en
49,1021742683440799745,"RT @LionHearted76: The Green Agenda is Insane
🚨Oxfordshire City Council in England just approved a trial Climate Lockdown in 2024

To ‘save…",2022-12-07T10:15:55.000Z,1600433918997458944,['1600433918997458944'],en
50,1440838244589977602,"RT @keisfangs: #MHASpoilers #MHA374 #BNHA374 

not the todorokis causing global warming https://t.co/ylIW0tbajc",2022-12-07T10:15:45.000Z,1600433875724869632,['1600433875724869632'],en
51,1599939274635214849,RT @kim_macca: Some Good Global Warming Comments  🤔 https://t.co/31oXk7JcPW,2022-12-07T10:15:20.000Z,1600433770540462080,['1600433770540462080'],en
52,928932770130173954,"@maxfawcett Due to GLOBAL warming, Northern Hemisphere snow cover extent is at a record maximum.....explain that Max? https://t.co/72civf4RYo",2022-12-07T10:15:01.000Z,1600433691666223105,['1600433691666223105'],en
53,484128706,"RT @Tony40335450: @BernieSpofforth @joseyrobins Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outl…",2022-12-07T10:14:38.000Z,1600433595511758848,['1600433595511758848'],en
54,274333765,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",2022-12-07T10:14:25.000Z,1600433542168657924,['1600433542168657924'],en
55,1174544046,"@SkyNewsAust Other simple tasks Albanese hasn't solved in his 1st 6 months;
* Fixed the NBN
* Closed the gap
* Solved housing affordability crisis
* Raised wages
* Lowered inflation
* Ended homelessness 
* Global warming
* Gotten to the bottom of every dodgy deal Angus Taylor was party to",2022-12-07T10:14:13.000Z,1600433492919169028,['1600433492919169028'],en
