,text,neg,neu,pos,compound
176,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.057,0.869,0.074,0.9957
177,Had our solar system fully commissioned yesterday and this morning we are generating some of the power we are using. Really happy.,0.057,0.868,0.075,0.9965
178,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.869,0.075,0.9965
179,RT @ClimateAudit: @kiteandkeymedia @seanmdav nuclear power has MUCH lower mineral consumption than wind+solar. MUCH larger nuclear is feasi…,0.057,0.869,0.074,0.9962
180,RT @jamesvgingerich: Solar power's future is so bright it's got to wear shades! (World Economic Forum) #Energy #Environment https://t.co/75…,0.057,0.868,0.075,0.9968
181,"@Neypaul01 A solar deity or sun deity is a deity who represents the Sun, or an aspect of it. Such deities are usual… https://t.co/6cEK70C9ww",0.056,0.869,0.075,0.9968
182,RT @Wera_Hobhouse: 🌳Burning trees in our power stations is a scandal. It is not a renewable form of energy producing more CO2 per unit than…,0.057,0.868,0.075,0.9966
183,"📰 India to step up gas imports to address summer power demand 

Powered by https://t.co/PtyRcaV0eT

https://t.co/ynGoisOKGB",0.057,0.868,0.075,0.9965
184,"RT @RealBeefactor: Whether you support the ruling party or the opposition party, be it you do politics or you don’t,registered voter or not…",0.057,0.866,0.077,0.9974
185,"RT @__Injaneb96: Flashback to when Jimmy Carter, a liberal, &amp; his administration promoted Khomeini and helped him to remove Mohammadreza Pa…",0.057,0.866,0.077,0.9977
186,"RT @dereckgoto: Since 2017, Government has been encouraging private players to invest in Electricity Generation.This has seen the commissio…",0.056,0.866,0.078,0.9979
187,@mattwridley @bigredmatt1011 Funny how it's antithetical to allow for any lowering of raptor population to eliminat… https://t.co/9B25WeW5RH,0.057,0.864,0.079,0.9981
188,"Me: I'm so glad to have solar power to keep my lights on.

Eskom readying a Stage 8 missile to destroy the sun: The fuck you will",0.058,0.862,0.08,0.9979
189,RT @SRNorway: To stop exploring new oil is the most obvious first step the Norwegian government can take to ensure that our planet truly st…,0.059,0.861,0.081,0.9981
190,"RT @AukeHoekstra: I've been saying this since 2007 but great to see the very influential @IEA embrace the power of solar.

Also notice this…",0.058,0.859,0.083,0.9986
191,"@stevain Yeah, my idea would be to replace as much as possible of the fossile energy supply by building 10 new nucl… https://t.co/YYiIp38U78",0.058,0.858,0.084,0.9987
192,"People, please stop being so dang naive believing that you have a say in anything of the political process. Stop le… https://t.co/UQ5ebH5zlb",0.059,0.856,0.084,0.9986
193,"RT @richwal94842899: If the Labor government were smart, they would lift the moratorium on  Nuclear reactors &amp; set up a group to facilitate…",0.059,0.856,0.085,0.9987
194,"RT @BrianGitt: Wind &amp; solar power require power plants idle on standby in case the wind stops blowing or clouds roll in.

Power plants burn…",0.059,0.857,0.084,0.9987
195,52cc Gas Power Sweeper Broom Blower Driveway Turf Grass Walk Behind Air Cooled https://t.co/7AObvy6G4T eBay https://t.co/U14fVDYT8h,0.059,0.857,0.084,0.9987
196,"The Mohammed Bin Zayed Solar Plant in Togo announces planned expansion to their solar plant from 50MW to 70MW, as p… https://t.co/Vr3n5NeokJ",0.059,0.858,0.083,0.9987
197,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.859,0.083,0.9987
198,Just remember that the people who put the country in this position is millionaires/billionaires who is sitting with… https://t.co/tXXPTfe8Nk,0.058,0.859,0.083,0.9987
199,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.86,0.082,0.9987
200,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.86,0.082,0.9987
201,@llyper @nelsonchamisa We have solar power in Zimbabwe yakadyirwa mari na Chivhayo he opted for shoes other than so… https://t.co/9F7KE9ASDu,0.057,0.861,0.082,0.9987
202,"RT @_ComfortMedia: Solar Energy is Future!
Be part of the great revolution, let's move from Loadshedding to Solar system for a reliable pow…",0.057,0.86,0.083,0.9989
203,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.861,0.083,0.9989
204,"RT @remakeourworld: Rest in power, Mohammed Imran, 37, Sheeraz, 19, Ghulam Husain, 35, and Shaharyar, 37. All are dead after a gas leak in…",0.058,0.859,0.082,0.9986
205,RT @rhaplord: those 25 would probably have better odds if they seized actual power (coal plants and gas pipelines) than whatever they think…,0.058,0.859,0.082,0.9987
206,RT @fofvinyl: mind you he said the same thing about lorde when solar power dropped and nobody was yelling at him https://t.co/qI1Nbdk95n,0.058,0.86,0.082,0.9987
207,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.058,0.861,0.082,0.9987
208,"@FissionPhil Because it’s ridiculously expensive and unnecessary.
Solar panels, wind turbines and battery storage c… https://t.co/PESku92Nft",0.058,0.861,0.081,0.9987
209,"Capable of maximizing the power generation of PV equipment efficiently without additional PV panels, Mornsun's PV s… https://t.co/A3iAU8MK6u",0.058,0.86,0.083,0.9988
210,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.86,0.082,0.9988
211,#India to step up gas imports to address summer power demand https://t.co/ne9yJpdF0V,0.058,0.86,0.082,0.9988
212,"RT @khamenei_ir: “We can’t” was a negative, wrong catchphrase before the Revolution in #Iran. The #Revolution changed this mindset, which l…",0.059,0.859,0.081,0.9986
213,#NowPlaying on #I Am Caribbean FM: Love Power (feat. Stonebwoy) by Alpha Blondy &amp; The Solar System! |  | Tune in no… https://t.co/bzk20MoEYX,0.059,0.859,0.082,0.9987
214,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.859,0.082,0.9987
215,RT @noku_carol: Practical approach to problems: Clean Energy comes to Mashaba. Solar Energy to ease power challenges!. Smart Solution. @Mul…,0.059,0.855,0.085,0.999
216,"In Germany, alarm bells are currently ringing because people know for sure that there will be power blackouts and t… https://t.co/AeuWTQo6GO",0.06,0.855,0.086,0.999
217,"@ClaireHanna Got a letter this morning ni power putting up my DD, gas is 3 times as much PM, why cant we get the lo… https://t.co/yiqynX9ev5",0.059,0.856,0.085,0.999
218,"18. In 1979, Shagari came to power and was thrown out when he became interested in the oil project.",0.059,0.856,0.085,0.9991
219,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.856,0.085,0.9991
220,5. There is international dirty oil politics and domestic oil politics. IDOP is the role of international oil compa… https://t.co/w8ATJCWgEj,0.059,0.856,0.085,0.999
221,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.856,0.084,0.999
222,RT @BloombergAfrica: Engie expects to move forward with three South African solar projects this week as the nation struggles to accelerate…,0.059,0.856,0.084,0.9989
223,"RT @advocatemahere: 🟡The ZESA crisis demonstrates beyond doubt that @ZANUPF_Official is not fit to govern. 

Egypt built the world's 4th la…",0.061,0.855,0.084,0.9987
224,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.061,0.856,0.083,0.9987
225,"RT @somtam67: @natalieben Wind/solar intermittent, this is what is needed. Can be built quickly!

#VRFB, they can be sized to 250MW/1000MWh…",0.061,0.856,0.083,0.9987
226,"RT @OkpankuChidi: @tintedscents @omni_controls offers everything from Smart Home, Building Management System, Security installation, Guest…",0.061,0.855,0.084,0.9988
227,"RT @AJPendleton: Important thread on the onshore wind ban, reports of the death of which are exaggerated. 

Don't be spun. It's still going…",0.063,0.853,0.084,0.9986
228,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.063,0.854,0.083,0.9986
229,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.062,0.854,0.083,0.9986
230,"RT @CellularTinny: Shop 8 Byo Centre, ground floor next Jet

Load shedding ...no stress ,we've got you covered🤩

Get your 200ah Solar Batte…",0.063,0.854,0.083,0.9985
231,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.063,0.855,0.083,0.9985
232,Could The New Regulation Of Vietnam On The Method Of Formulating Power Generating Tariff Ranges For Electricity Gen… https://t.co/SP0nI2hQHG,0.062,0.855,0.082,0.9985
233,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.062,0.856,0.082,0.9985
234,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.062,0.856,0.082,0.9985
235,RT @GrowattInverter: Many families in Australia have chosen #Growatt Battery-Ready Solutions to prepare for solar+storage. This owner has t…,0.062,0.857,0.082,0.9985
236,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.061,0.857,0.081,0.9985
237,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.061,0.858,0.081,0.9985
238,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.061,0.858,0.081,0.9985
239,@POTUS We need to build hundreds of these 100% green power plants as soon as possible. PINK (RED) HYDROGEN as a tru… https://t.co/toOSgGbk6w,0.061,0.859,0.081,0.9985
240,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.061,0.859,0.08,0.9985
241,"Solar power expected to surpass coal in 5 years, IEA says via @FT
For all the renewable deniers out there, most of… https://t.co/ElHh0RqHoc",0.061,0.859,0.08,0.9984
242,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.061,0.86,0.08,0.9984
243,"MARBERO 88Wh Portable Power Station,24000mAh Camping Solar Generators Lithium Battery Power Supply with 110V/80W(Pe… https://t.co/SJP1LI5BXJ",0.06,0.86,0.079,0.9984
244,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.06,0.861,0.079,0.9984
245,"RT @india_narrative: India 🇮🇳 is lining its canals with solar power

Did you know? The world's first canal-top 1MW solar project on the Nar…",0.06,0.861,0.079,0.9984
246,"RT @Ajay_Bagga: Solar power expected to surpass coal in 5 years, IEA says.Renewable energy forecast to become largest source of electricity…",0.06,0.861,0.079,0.9985
247,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.06,0.862,0.079,0.9985
248,@simonahac @Tesla @Solar_Quotes I have 30 kWh of lithium batteries and I paid about $4000 for it. I had to equip th… https://t.co/iIDx9ejJdR,0.059,0.862,0.078,0.9985
249,"Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; s… https://t.co/cJpnLNZz3j",0.059,0.863,0.078,0.9985
