"","Date","v1","v2","v3","v4","v5","v6"
"1","194913",31,214,668411.196078431,2340.19607843137,2206,14
"2","195013",34,227,668411.196078431,2340.19607843137,2382,15
"3","195113",36,239,668411.196078431,2340.19607843137,2526,16
"4","195213",36,233,668411.196078431,2340.19607843137,2473,15
"5","195313",37,235,668411.196078431,2340.19607843137,2536,15
"6","195413",36,225,668411.196078431,2340.19607843137,2422,14
"7","195513",40,242,668411.196078431,2340.19607843137,2684,16
"8","195613",41,247,668411.196078431,2340.19607843137,2777,16
"9","195713",41,243,668411.196078431,2340.19607843137,2756,16
"10","195813",41,238,668411.196078431,2340.19607843137,2703,15
"11","195913",43,244,668411.196078431,2340.19607843137,2807,15
"12","196013",45,249,668411.196078431,2340.19607843137,2914,16
"13","196113",45,249,668411.196078431,2340.19607843137,2942,16
"14","196213",47,256,668411.196078431,2340.19607843137,3064,16
"15","196313",49,262,668411.196078431,2340.19607843137,3184,16
"16","196413",51,270,668411.196078431,2340.19607843137,3316,17
"17","196513",53,278,668411.196078431,2340.19607843137,3461,17
"18","196613",56,290,668411.196078431,2340.19607843137,3654,18
"19","196713",58,296,668411.196078431,2340.19607843137,3749,18
"20","196813",62,311,668411.196078431,2340.19607843137,3964,19
"21","196913",65,324,668411.196078431,2340.19607843137,4134,20
"22","197013",67,331,82874,404,4261,20
"23","197113",69,334,90037,434,4311,20
"24","197213",72,346,98070,467,4532,21
"25","197313",75,357,111894,528,4720,22
"26","197413",73,346,153369,717,4560,21
"27","197513",71,333,171853,796,4427,20
"28","197613",75,348,193915,889,4694,21
"29","197713",77,354,220499,1001,4835,22
"30","197813",79,359,239280,1075,4884,21
"31","197913",80,359,297574,1322,4949,22
"32","198013",78,343,374350,1647,4756,20
"33","198113",76,331,427901,1865,4636,20
"34","198213",73,315,426482,1841,4404,19
"35","198313",72,312,417621,1786,4383,18
"36","198413",76,325,435312,1846,4612,19
"37","198513",76,321,438343,1842,4605,19
"38","198613",76,319,384090,1599,4615,19
"39","198713",79,326,397626,1641,4775,19
"40","198813",82,338,411568,1683,4998,20
"41","198913",84,343,439051,1779,5084,20
"42","199013",84,338,474652,1901,5037,20
"43","199113",84,334,472439,1867,4992,19
"44","199213",85,334,476844,1859,5093,19
"45","199313",87,336,492274,1894,5185,20
"46","199413",88,338,504856,1919,5262,20
"47","199513",90,341,514623,1933,5324,20
"48","199613",93,349,560292,2080,5518,20
"49","199713",94,347,567961,2083,5589,20
"50","199813",94,344,526282,1908,5636,20
"51","199913",96,346,558626,2002,5700,20
"52","200013",98,350,687710,2437,5888,20
"53","200113",96,337,696242,2443,5777,20
"54","200213",97,339,663964,2308,5820,20
"55","200313",97,337,755070,2603,5886,20
"56","200413",100,342,871210,2975,5993,20
"57","200513",100,339,1045730,3539,6007,20
"58","200613",99,333,1158820,3884,5929,19
"59","200713",100,335,1233868,4096,6015,20
"60","200813",98,325,1408759,4633,5823,19
"61","200913",93,306,1066528,3477,5403,17
"62","201013",97,315,1214276,3926,5593,18
"63","201113",96,311,1392467,4469,5454,17
"64","201213",94,301,1355173,4318,5236,16
"65","201313",97,307,1376398,4356,5358,17
"66","201413",98,309,1395422,4384,5413,17
"67","201513",97,304,1128437,3519,5262,16
"68","201613",97,302,1038870,3217,5168,16
"69","201713",97,301,1136364,3497,5131,15
"70","201813",101,310,1271812,3893,5277,16
"71","201913",100,306,1223861,3729,5146,15
"72","202013",93,281,1007432,3039,4579,13
"73","202113",97,295,668411.196078431,2340.19607843137,4904,14
