"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @alissajean: Hey FL. Your power bill is going up (again) because of decisions that your power company made to remain over-reliant on out…",FALSE,0,NA,2022-12-07 04:42:04,FALSE,NA,"1600349902638579712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LawrenceForbe16",547,TRUE,FALSE,NA,NA
"2","RT @Music20Plus: @HenryLawson55 @OZzSue5 @ABCaustralia Yet, when you look at all the infrastructure required to feed power from the numerou…",FALSE,0,NA,2022-12-07 04:41:12,FALSE,NA,"1600349683100299264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OZzSue5",1,TRUE,FALSE,NA,NA
"3","And people said nuclear power plants are ugly. Really?? These solar farms and their cousin the wind farms are destr… https://t.co/MajIxDJbvt",FALSE,0,NA,2022-12-07 04:40:46,TRUE,NA,"1600349573805150208",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Rev11Witness",0,FALSE,FALSE,NA,NA
"4","RT @alissajean: Hey FL. Your power bill is going up (again) because of decisions that your power company made to remain over-reliant on out…",FALSE,0,NA,2022-12-07 04:40:22,FALSE,NA,"1600349474177490945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CThreeFilm",547,TRUE,FALSE,NA,NA
"5","Trail Camera Solar Power Panel 8000mAh 3W Supporting 12V 9V 6V for All 3G 4G Hunting Game Camera or Deer Feeder GGR… https://t.co/9k2SH1GddX",FALSE,0,NA,2022-12-07 04:40:16,TRUE,NA,"1600349450055999489",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","casperxaf",0,FALSE,FALSE,NA,NA
"6","@sadfolklorian he said the same about solar power, some people just have their own ways they like to listen to musi… https://t.co/6BphfpuRsI",FALSE,0,"sadfolklorian",2022-12-07 04:40:12,TRUE,"1600348183099383808","1600349433366880257","1165431453485883392","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marsfckinlegacy",0,FALSE,FALSE,NA,NA
"7","static pressure at a nominated point in a fluid. 

For fluid power, a working fluid is a gas or liquid that primari… https://t.co/XV9DlpI0K0",FALSE,1,"Courtne08241586",2022-12-07 04:40:05,TRUE,"1600348848748056579","1600349403625099266","1226562216733925377","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Courtne08241586",0,FALSE,FALSE,NA,NA
"8","RT @CoryBMorgan: Hydrocarbons are keeping you alive today. 

Solar and wind are just tax sucking money pits. 

https://t.co/28kJu8RvGD",FALSE,0,NA,2022-12-07 04:39:41,FALSE,NA,"1600349301351145473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ciliskatron",39,TRUE,FALSE,NA,NA
"9","RT @FChecker76: @Rebecca74083947 @ThruNoiz @25_cycle @BJChippindale @Climatehope2 @ejwwest @DawnTJ90 @suffect @KeillerDon @Climate_Takes @F…",FALSE,0,NA,2022-12-07 04:38:00,FALSE,NA,"1600348878364020736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","S_D_Mannix",1,TRUE,FALSE,NA,NA
"10","RT @Harbin_Electric: Today marks #MajorSnow (Daxue), the 21st solar term in the traditional Chinese calendar. It kicks off the perfect seas…",FALSE,0,NA,2022-12-07 04:37:43,FALSE,NA,"1600348809888174080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BharangaDilip",1,TRUE,FALSE,NA,NA
"11","@austbondlover @AlboMP @Bowenchris Happy to send Ukraine coal as much as they need to survive the winter.  The issu… https://t.co/n5ior8nGLH",FALSE,0,"austbondlover",2022-12-07 04:37:27,TRUE,"1600346348879912960","1600348741227401216","1574250654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","B2SlavaUkraini",0,FALSE,FALSE,NA,NA
