"","YYYYMM","Value","energy_type","sector"
"1",194913,4460.588,"Primary Energy","Residential"
"2",195013,4829.528,"Primary Energy","Residential"
"3",195113,5104.68,"Primary Energy","Residential"
"4",195213,5158.406,"Primary Energy","Residential"
"5",195313,5052.749,"Primary Energy","Residential"
"6",195413,5262.555,"Primary Energy","Residential"
"7",195513,5608.073,"Primary Energy","Residential"
"8",195613,5839.664,"Primary Energy","Residential"
"9",195713,5744.189,"Primary Energy","Residential"
"10",195813,6125.681,"Primary Energy","Residential"
"11",195913,6188.68,"Primary Energy","Residential"
"12",196013,6651.233,"Primary Energy","Residential"
"13",196113,6776.017,"Primary Energy","Residential"
"14",196213,7080.156,"Primary Energy","Residential"
"15",196313,7090.289,"Primary Energy","Residential"
"16",196413,7112.235,"Primary Energy","Residential"
"17",196513,7279.925,"Primary Energy","Residential"
"18",196613,7500.922,"Primary Energy","Residential"
"19",196713,7711.953,"Primary Energy","Residential"
"20",196813,7933.383,"Primary Energy","Residential"
"21",196913,8243.522,"Primary Energy","Residential"
"22",197013,8323.12,"Primary Energy","Residential"
"23",197113,8428.176,"Primary Energy","Residential"
"24",197213,8628.162,"Primary Energy","Residential"
"25",197301,1339.27,"Primary Energy","Residential"
"26",197302,1174.899,"Primary Energy","Residential"
"27",197303,983.374,"Primary Energy","Residential"
"28",197304,715.391,"Primary Energy","Residential"
"29",197305,535.914,"Primary Energy","Residential"
"30",197306,366.934,"Primary Energy","Residential"
"31",197307,306.868,"Primary Energy","Residential"
"32",197308,313.317,"Primary Energy","Residential"
"33",197309,342.204,"Primary Energy","Residential"
"34",197310,448.425,"Primary Energy","Residential"
"35",197311,711.988,"Primary Energy","Residential"
"36",197312,987.464,"Primary Energy","Residential"
"37",197313,8226.051,"Primary Energy","Residential"
"38",197401,1235.945,"Primary Energy","Residential"
"39",197402,1062.873,"Primary Energy","Residential"
"40",197403,912.136,"Primary Energy","Residential"
"41",197404,723.904,"Primary Energy","Residential"
"42",197405,500.171,"Primary Energy","Residential"
"43",197406,369.658,"Primary Energy","Residential"
"44",197407,318.421,"Primary Energy","Residential"
"45",197408,297.214,"Primary Energy","Residential"
"46",197409,341.18,"Primary Energy","Residential"
"47",197410,484.835,"Primary Energy","Residential"
"48",197411,645.39,"Primary Energy","Residential"
"49",197412,1016.87,"Primary Energy","Residential"
"50",197413,7908.596,"Primary Energy","Residential"
"51",197501,1145.426,"Primary Energy","Residential"
"52",197502,1090.754,"Primary Energy","Residential"
"53",197503,997.785,"Primary Energy","Residential"
"54",197504,865.717,"Primary Energy","Residential"
"55",197505,526.079,"Primary Energy","Residential"
"56",197506,368.304,"Primary Energy","Residential"
"57",197507,318.568,"Primary Energy","Residential"
"58",197508,303.802,"Primary Energy","Residential"
"59",197509,341.999,"Primary Energy","Residential"
"60",197510,443.56,"Primary Energy","Residential"
"61",197511,582.293,"Primary Energy","Residential"
"62",197512,1006.009,"Primary Energy","Residential"
"63",197513,7990.296,"Primary Energy","Residential"
"64",197601,1303.69,"Primary Energy","Residential"
"65",197602,1100.921,"Primary Energy","Residential"
"66",197603,895.893,"Primary Energy","Residential"
"67",197604,674.091,"Primary Energy","Residential"
"68",197605,522.575,"Primary Energy","Residential"
"69",197606,403.688,"Primary Energy","Residential"
"70",197607,333.04,"Primary Energy","Residential"
"71",197608,305.673,"Primary Energy","Residential"
"72",197609,336.311,"Primary Energy","Residential"
"73",197610,484.198,"Primary Energy","Residential"
"74",197611,827.672,"Primary Energy","Residential"
"75",197612,1204.077,"Primary Energy","Residential"
"76",197613,8391.829,"Primary Energy","Residential"
"77",197701,1488.04,"Primary Energy","Residential"
"78",197702,1244.153,"Primary Energy","Residential"
"79",197703,869.111,"Primary Energy","Residential"
"80",197704,630.341,"Primary Energy","Residential"
"81",197705,462.08,"Primary Energy","Residential"
"82",197706,365.119,"Primary Energy","Residential"
"83",197707,318.04,"Primary Energy","Residential"
"84",197708,311.161,"Primary Energy","Residential"
"85",197709,330.422,"Primary Energy","Residential"
"86",197710,470.296,"Primary Energy","Residential"
"87",197711,647.249,"Primary Energy","Residential"
"88",197712,1058.283,"Primary Energy","Residential"
"89",197713,8194.297,"Primary Energy","Residential"
"90",197801,1232.305,"Primary Energy","Residential"
"91",197802,1236.943,"Primary Energy","Residential"
"92",197803,1038.126,"Primary Energy","Residential"
"93",197804,675.086,"Primary Energy","Residential"
"94",197805,532.405,"Primary Energy","Residential"
"95",197806,375.832,"Primary Energy","Residential"
"96",197807,325.162,"Primary Energy","Residential"
"97",197808,337.852,"Primary Energy","Residential"
"98",197809,346.006,"Primary Energy","Residential"
"99",197810,470.243,"Primary Energy","Residential"
"100",197811,673.031,"Primary Energy","Residential"
"101",197812,1017.61,"Primary Energy","Residential"
"102",197813,8260.6,"Primary Energy","Residential"
"103",197901,1264.667,"Primary Energy","Residential"
"104",197902,1261.839,"Primary Energy","Residential"
"105",197903,949.668,"Primary Energy","Residential"
"106",197904,685.282,"Primary Energy","Residential"
"107",197905,484.65,"Primary Energy","Residential"
"108",197906,359.452,"Primary Energy","Residential"
"109",197907,314.195,"Primary Energy","Residential"
"110",197908,311.417,"Primary Energy","Residential"
"111",197909,318.485,"Primary Energy","Residential"
"112",197910,437.786,"Primary Energy","Residential"
"113",197911,631.953,"Primary Energy","Residential"
"114",197912,899.959,"Primary Energy","Residential"
"115",197913,7919.353,"Primary Energy","Residential"
"116",198001,1063.204,"Primary Energy","Residential"
"117",198002,1075.443,"Primary Energy","Residential"
"118",198003,926.399,"Primary Energy","Residential"
"119",198004,640.924,"Primary Energy","Residential"
"120",198005,460.466,"Primary Energy","Residential"
"121",198006,356.143,"Primary Energy","Residential"
"122",198007,296.382,"Primary Energy","Residential"
"123",198008,277.249,"Primary Energy","Residential"
"124",198009,300.257,"Primary Energy","Residential"
"125",198010,433.995,"Primary Energy","Residential"
"126",198011,644.357,"Primary Energy","Residential"
"127",198012,964.382,"Primary Energy","Residential"
"128",198013,7439.811,"Primary Energy","Residential"
"129",198101,1192.187,"Primary Energy","Residential"
"130",198102,1001.049,"Primary Energy","Residential"
"131",198103,796.785,"Primary Energy","Residential"
"132",198104,535.409,"Primary Energy","Residential"
"133",198105,424.011,"Primary Energy","Residential"
"134",198106,316.953,"Primary Energy","Residential"
"135",198107,281.742,"Primary Energy","Residential"
"136",198108,276.109,"Primary Energy","Residential"
"137",198109,286.684,"Primary Energy","Residential"
"138",198110,452.926,"Primary Energy","Residential"
"139",198111,598.64,"Primary Energy","Residential"
"140",198112,881.812,"Primary Energy","Residential"
"141",198113,7045.674,"Primary Energy","Residential"
"142",198201,1165.945,"Primary Energy","Residential"
"143",198202,1025.192,"Primary Energy","Residential"
"144",198203,850.443,"Primary Energy","Residential"
"145",198204,683.342,"Primary Energy","Residential"
"146",198205,417.487,"Primary Energy","Residential"
"147",198206,323.654,"Primary Energy","Residential"
"148",198207,283.59,"Primary Energy","Residential"
"149",198208,277.113,"Primary Energy","Residential"
"150",198209,323.867,"Primary Energy","Residential"
"151",198210,406.525,"Primary Energy","Residential"
"152",198211,567.522,"Primary Energy","Residential"
"153",198212,822.372,"Primary Energy","Residential"
"154",198213,7146.964,"Primary Energy","Residential"
"155",198301,1126.919,"Primary Energy","Residential"
"156",198302,906.205,"Primary Energy","Residential"
"157",198303,822.105,"Primary Energy","Residential"
"158",198304,658.629,"Primary Energy","Residential"
"159",198305,446.742,"Primary Energy","Residential"
"160",198306,324.786,"Primary Energy","Residential"
"161",198307,280.856,"Primary Energy","Residential"
"162",198308,280.232,"Primary Energy","Residential"
"163",198309,281.535,"Primary Energy","Residential"
"164",198310,357.347,"Primary Energy","Residential"
"165",198311,521.056,"Primary Energy","Residential"
"166",198312,827.164,"Primary Energy","Residential"
"167",198313,6832.271,"Primary Energy","Residential"
"168",198401,1217.642,"Primary Energy","Residential"
"169",198402,944.75,"Primary Energy","Residential"
"170",198403,878.47,"Primary Energy","Residential"
"171",198404,680.173,"Primary Energy","Residential"
"172",198405,479.534,"Primary Energy","Residential"
"173",198406,337.586,"Primary Energy","Residential"
"174",198407,298.467,"Primary Energy","Residential"
"175",198408,298.541,"Primary Energy","Residential"
"176",198409,312.717,"Primary Energy","Residential"
"177",198410,376.911,"Primary Energy","Residential"
"178",198411,556.191,"Primary Energy","Residential"
"179",198412,831.298,"Primary Energy","Residential"
"180",198413,7211.264,"Primary Energy","Residential"
"181",198501,1061.433,"Primary Energy","Residential"
"182",198502,1120.769,"Primary Energy","Residential"
"183",198503,816.543,"Primary Energy","Residential"
"184",198504,598.168,"Primary Energy","Residential"
"185",198505,395.278,"Primary Energy","Residential"
"186",198506,327.17,"Primary Energy","Residential"
"187",198507,301.608,"Primary Energy","Residential"
"188",198508,301.992,"Primary Energy","Residential"
"189",198509,312.758,"Primary Energy","Residential"
"190",198510,404.569,"Primary Energy","Residential"
"191",198511,543.231,"Primary Energy","Residential"
"192",198512,969.107,"Primary Energy","Residential"
"193",198513,7148.629,"Primary Energy","Residential"
"194",198601,1096.939,"Primary Energy","Residential"
"195",198602,959.474,"Primary Energy","Residential"
"196",198603,835.4,"Primary Energy","Residential"
"197",198604,564.726,"Primary Energy","Residential"
"198",198605,423.511,"Primary Energy","Residential"
"199",198606,315.692,"Primary Energy","Residential"
"200",198607,294.348,"Primary Energy","Residential"
"201",198608,294.801,"Primary Energy","Residential"
"202",198609,302.018,"Primary Energy","Residential"
"203",198610,390.975,"Primary Energy","Residential"
"204",198611,564.304,"Primary Energy","Residential"
"205",198612,865.612,"Primary Energy","Residential"
"206",198613,6906.591,"Primary Energy","Residential"
"207",198701,1034.087,"Primary Energy","Residential"
"208",198702,942.036,"Primary Energy","Residential"
"209",198703,830.043,"Primary Energy","Residential"
"210",198704,603.738,"Primary Energy","Residential"
"211",198705,403.212,"Primary Energy","Residential"
"212",198706,313.497,"Primary Energy","Residential"
"213",198707,297.013,"Primary Energy","Residential"
"214",198708,283.891,"Primary Energy","Residential"
"215",198709,306.302,"Primary Energy","Residential"
"216",198710,449.573,"Primary Energy","Residential"
"217",198711,587.143,"Primary Energy","Residential"
"218",198712,874.267,"Primary Energy","Residential"
"219",198713,6923.82,"Primary Energy","Residential"
"220",198801,1169.925,"Primary Energy","Residential"
"221",198802,1036.19,"Primary Energy","Residential"
"222",198803,863.14,"Primary Energy","Residential"
"223",198804,609.177,"Primary Energy","Residential"
"224",198805,449.797,"Primary Energy","Residential"
"225",198806,322.275,"Primary Energy","Residential"
"226",198807,305.236,"Primary Energy","Residential"
"227",198808,300.467,"Primary Energy","Residential"
"228",198809,310.421,"Primary Energy","Residential"
"229",198810,449.246,"Primary Energy","Residential"
"230",198811,626.228,"Primary Energy","Residential"
"231",198812,915.548,"Primary Energy","Residential"
"232",198813,7357.23,"Primary Energy","Residential"
"233",198901,1049.034,"Primary Energy","Residential"
"234",198902,1011.179,"Primary Energy","Residential"
"235",198903,917.257,"Primary Energy","Residential"
"236",198904,630.575,"Primary Energy","Residential"
"237",198905,452.349,"Primary Energy","Residential"
"238",198906,339.729,"Primary Energy","Residential"
"239",198907,307.04,"Primary Energy","Residential"
"240",198908,315.708,"Primary Energy","Residential"
"241",198909,331.322,"Primary Energy","Residential"
"242",198910,445.034,"Primary Energy","Residential"
"243",198911,650.464,"Primary Energy","Residential"
"244",198912,1122.782,"Primary Energy","Residential"
"245",198913,7571.42,"Primary Energy","Residential"
"246",199001,1019.259,"Primary Energy","Residential"
"247",199002,852.315,"Primary Energy","Residential"
"248",199003,749.89,"Primary Energy","Residential"
"249",199004,571.686,"Primary Energy","Residential"
"250",199005,405.317,"Primary Energy","Residential"
"251",199006,307.172,"Primary Energy","Residential"
"252",199007,272.311,"Primary Energy","Residential"
"253",199008,278.475,"Primary Energy","Residential"
"254",199009,286.261,"Primary Energy","Residential"
"255",199010,385.055,"Primary Energy","Residential"
"256",199011,565.086,"Primary Energy","Residential"
"257",199012,860.83,"Primary Energy","Residential"
"258",199013,6552.526,"Primary Energy","Residential"
"259",199101,1105.406,"Primary Energy","Residential"
"260",199102,871.428,"Primary Energy","Residential"
"261",199103,779.406,"Primary Energy","Residential"
"262",199104,544.552,"Primary Energy","Residential"
"263",199105,382.78,"Primary Energy","Residential"
"264",199106,292.128,"Primary Energy","Residential"
"265",199107,274.458,"Primary Energy","Residential"
"266",199108,265.22,"Primary Energy","Residential"
"267",199109,280.798,"Primary Energy","Residential"
"268",199110,396.624,"Primary Energy","Residential"
"269",199111,659.526,"Primary Energy","Residential"
"270",199112,895.254,"Primary Energy","Residential"
"271",199113,6746.27,"Primary Energy","Residential"
"272",199201,1042.786,"Primary Energy","Residential"
"273",199202,913.852,"Primary Energy","Residential"
"274",199203,789.909,"Primary Energy","Residential"
"275",199204,614.533,"Primary Energy","Residential"
"276",199205,409.088,"Primary Energy","Residential"
"277",199206,310.112,"Primary Energy","Residential"
"278",199207,281.557,"Primary Energy","Residential"
"279",199208,268.044,"Primary Energy","Residential"
"280",199209,303.655,"Primary Energy","Residential"
"281",199210,416.925,"Primary Energy","Residential"
"282",199211,635.285,"Primary Energy","Residential"
"283",199212,964.67,"Primary Energy","Residential"
"284",199213,6949.6,"Primary Energy","Residential"
"285",199301,1068.71,"Primary Energy","Residential"
"286",199302,995.481,"Primary Energy","Residential"
"287",199303,931.355,"Primary Energy","Residential"
"288",199304,632.346,"Primary Energy","Residential"
"289",199305,387.146,"Primary Energy","Residential"
"290",199306,309.46,"Primary Energy","Residential"
"291",199307,277.085,"Primary Energy","Residential"
"292",199308,275.486,"Primary Energy","Residential"
"293",199309,291.183,"Primary Energy","Residential"
"294",199310,400.698,"Primary Energy","Residential"
"295",199311,638.638,"Primary Energy","Residential"
"296",199312,933.702,"Primary Energy","Residential"
"297",199313,7140.541,"Primary Energy","Residential"
"298",199401,1216.717,"Primary Energy","Residential"
"299",199402,1073.82,"Primary Energy","Residential"
"300",199403,839.968,"Primary Energy","Residential"
"301",199404,554.184,"Primary Energy","Residential"
"302",199405,398.731,"Primary Energy","Residential"
"303",199406,288.894,"Primary Energy","Residential"
"304",199407,256.988,"Primary Energy","Residential"
"305",199408,261.634,"Primary Energy","Residential"
"306",199409,269.662,"Primary Energy","Residential"
"307",199410,380.844,"Primary Energy","Residential"
"308",199411,572.484,"Primary Energy","Residential"
"309",199412,863.656,"Primary Energy","Residential"
"310",199413,6976.732,"Primary Energy","Residential"
"311",199501,1048.848,"Primary Energy","Residential"
"312",199502,978.568,"Primary Energy","Residential"
"313",199503,799.454,"Primary Energy","Residential"
"314",199504,591.206,"Primary Energy","Residential"
"315",199505,407.996,"Primary Energy","Residential"
"316",199506,291.235,"Primary Energy","Residential"
"317",199507,255.484,"Primary Energy","Residential"
"318",199508,242.506,"Primary Energy","Residential"
"319",199509,265.657,"Primary Energy","Residential"
"320",199510,366.668,"Primary Energy","Residential"
"321",199511,683.068,"Primary Energy","Residential"
"322",199512,1004.271,"Primary Energy","Residential"
"323",199513,6934.563,"Primary Energy","Residential"
"324",199601,1204.23,"Primary Energy","Residential"
"325",199602,1077.624,"Primary Energy","Residential"
"326",199603,932.849,"Primary Energy","Residential"
"327",199604,649.341,"Primary Energy","Residential"
"328",199605,418.598,"Primary Energy","Residential"
"329",199606,294.46,"Primary Energy","Residential"
"330",199607,250.511,"Primary Energy","Residential"
"331",199608,247.704,"Primary Energy","Residential"
"332",199609,275.301,"Primary Energy","Residential"
"333",199610,410.345,"Primary Energy","Residential"
"334",199611,721.355,"Primary Energy","Residential"
"335",199612,982.86,"Primary Energy","Residential"
"336",199613,7464.613,"Primary Energy","Residential"
"337",199701,1169.188,"Primary Energy","Residential"
"338",199702,968.586,"Primary Energy","Residential"
"339",199703,802.626,"Primary Energy","Residential"
"340",199704,603.585,"Primary Energy","Residential"
"341",199705,424.499,"Primary Energy","Residential"
"342",199706,291.128,"Primary Energy","Residential"
"343",199707,252.881,"Primary Energy","Residential"
"344",199708,245.299,"Primary Energy","Residential"
"345",199709,258.731,"Primary Energy","Residential"
"346",199710,384.314,"Primary Energy","Residential"
"347",199711,676.345,"Primary Energy","Residential"
"348",199712,954.113,"Primary Energy","Residential"
"349",199713,7030.834,"Primary Energy","Residential"
"350",199801,1033.182,"Primary Energy","Residential"
"351",199802,884.292,"Primary Energy","Residential"
"352",199803,844.357,"Primary Energy","Residential"
"353",199804,559.432,"Primary Energy","Residential"
"354",199805,362.952,"Primary Energy","Residential"
"355",199806,276.806,"Primary Energy","Residential"
"356",199807,248.546,"Primary Energy","Residential"
"357",199808,236.964,"Primary Energy","Residential"
"358",199809,233.304,"Primary Energy","Residential"
"359",199810,348.011,"Primary Energy","Residential"
"360",199811,560.881,"Primary Energy","Residential"
"361",199812,822.855,"Primary Energy","Residential"
"362",199813,6410.976,"Primary Energy","Residential"
"363",199901,1170.283,"Primary Energy","Residential"
"364",199902,913.019,"Primary Energy","Residential"
"365",199903,889.222,"Primary Energy","Residential"
"366",199904,579.64,"Primary Energy","Residential"
"367",199905,369.834,"Primary Energy","Residential"
"368",199906,279.49,"Primary Energy","Residential"
"369",199907,244.032,"Primary Energy","Residential"
"370",199908,238.435,"Primary Energy","Residential"
"371",199909,257.206,"Primary Energy","Residential"
"372",199910,389.088,"Primary Energy","Residential"
"373",199911,549.732,"Primary Energy","Residential"
"374",199912,893.315,"Primary Energy","Residential"
"375",199913,6772.474,"Primary Energy","Residential"
"376",200001,1126.861,"Primary Energy","Residential"
"377",200002,1001.826,"Primary Energy","Residential"
"378",200003,749.527,"Primary Energy","Residential"
"379",200004,565.103,"Primary Energy","Residential"
"380",200005,368.115,"Primary Energy","Residential"
"381",200006,275.679,"Primary Energy","Residential"
"382",200007,248.353,"Primary Energy","Residential"
"383",200008,259.868,"Primary Energy","Residential"
"384",200009,277.46,"Primary Energy","Residential"
"385",200010,398.545,"Primary Energy","Residential"
"386",200011,685.909,"Primary Energy","Residential"
"387",200012,1199.769,"Primary Energy","Residential"
"388",200013,7156.311,"Primary Energy","Residential"
"389",200101,1259.614,"Primary Energy","Residential"
"390",200102,1011.599,"Primary Energy","Residential"
"391",200103,910.141,"Primary Energy","Residential"
"392",200104,568.741,"Primary Energy","Residential"
"393",200105,342.474,"Primary Energy","Residential"
"394",200106,269.265,"Primary Energy","Residential"
"395",200107,250.353,"Primary Energy","Residential"
"396",200108,243.045,"Primary Energy","Residential"
"397",200109,249.278,"Primary Energy","Residential"
"398",200110,390.69,"Primary Energy","Residential"
"399",200111,535.359,"Primary Energy","Residential"
"400",200112,834.956,"Primary Energy","Residential"
"401",200113,6864.452,"Primary Energy","Residential"
"402",200201,1058.755,"Primary Energy","Residential"
"403",200202,922.876,"Primary Energy","Residential"
"404",200203,866.604,"Primary Energy","Residential"
"405",200204,564.22,"Primary Energy","Residential"
"406",200205,393.374,"Primary Energy","Residential"
"407",200206,276.366,"Primary Energy","Residential"
"408",200207,242.485,"Primary Energy","Residential"
"409",200208,234.988,"Primary Energy","Residential"
"410",200209,245.094,"Primary Energy","Residential"
"411",200210,411.373,"Primary Energy","Residential"
"412",200211,672.81,"Primary Energy","Residential"
"413",200212,1019.292,"Primary Energy","Residential"
"414",200213,6907.474,"Primary Energy","Residential"
"415",200301,1236.885,"Primary Energy","Residential"
"416",200302,1129.4,"Primary Energy","Residential"
"417",200303,892.674,"Primary Energy","Residential"
"418",200304,583.48,"Primary Energy","Residential"
"419",200305,392.5,"Primary Energy","Residential"
"420",200306,283.004,"Primary Energy","Residential"
"421",200307,252.31,"Primary Energy","Residential"
"422",200308,239.31,"Primary Energy","Residential"
"423",200309,266.274,"Primary Energy","Residential"
"424",200310,392.238,"Primary Energy","Residential"
"425",200311,588.263,"Primary Energy","Residential"
"426",200312,978.095,"Primary Energy","Residential"
"427",200313,7233.057,"Primary Energy","Residential"
"428",200401,1239.829,"Primary Energy","Residential"
"429",200402,1094.984,"Primary Energy","Residential"
"430",200403,790.755,"Primary Energy","Residential"
"431",200404,544.871,"Primary Energy","Residential"
"432",200405,347.168,"Primary Energy","Residential"
"433",200406,271.16,"Primary Energy","Residential"
"434",200407,249.186,"Primary Energy","Residential"
"435",200408,249.395,"Primary Energy","Residential"
"436",200409,250.253,"Primary Energy","Residential"
"437",200410,370.651,"Primary Energy","Residential"
"438",200411,589.702,"Primary Energy","Residential"
"439",200412,989.63,"Primary Energy","Residential"
"440",200413,6987.244,"Primary Energy","Residential"
"441",200501,1150.246,"Primary Energy","Residential"
"442",200502,977.203,"Primary Energy","Residential"
"443",200503,893.424,"Primary Energy","Residential"
"444",200504,541.645,"Primary Energy","Residential"
"445",200505,392.372,"Primary Energy","Residential"
"446",200506,283.471,"Primary Energy","Residential"
"447",200507,250.214,"Primary Energy","Residential"
"448",200508,245.025,"Primary Energy","Residential"
"449",200509,243.425,"Primary Energy","Residential"
"450",200510,354.234,"Primary Energy","Residential"
"451",200511,560.281,"Primary Energy","Residential"
"452",200512,1011.261,"Primary Energy","Residential"
"453",200513,6901.337,"Primary Energy","Residential"
"454",200601,920.66,"Primary Energy","Residential"
"455",200602,913.847,"Primary Energy","Residential"
"456",200603,823.399,"Primary Energy","Residential"
"457",200604,497.257,"Primary Energy","Residential"
"458",200605,328.762,"Primary Energy","Residential"
"459",200606,248.303,"Primary Energy","Residential"
"460",200607,221.709,"Primary Energy","Residential"
"461",200608,215.4,"Primary Energy","Residential"
"462",200609,236.522,"Primary Energy","Residential"
"463",200610,373.739,"Primary Energy","Residential"
"464",200611,563.137,"Primary Energy","Residential"
"465",200612,812.888,"Primary Energy","Residential"
"466",200613,6154.975,"Primary Energy","Residential"
"467",200701,1022.341,"Primary Energy","Residential"
"468",200702,1122.794,"Primary Energy","Residential"
"469",200703,810.243,"Primary Energy","Residential"
"470",200704,549.349,"Primary Energy","Residential"
"471",200705,323.623,"Primary Energy","Residential"
"472",200706,239.167,"Primary Energy","Residential"
"473",200707,219.074,"Primary Energy","Residential"
"474",200708,220.828,"Primary Energy","Residential"
"475",200709,227.761,"Primary Energy","Residential"
"476",200710,306.016,"Primary Energy","Residential"
"477",200711,584.36,"Primary Energy","Residential"
"478",200712,964.938,"Primary Energy","Residential"
"479",200713,6589.438,"Primary Energy","Residential"
"480",200801,1145.208,"Primary Energy","Residential"
"481",200802,1059.69,"Primary Energy","Residential"
"482",200803,864.272,"Primary Energy","Residential"
"483",200804,543.573,"Primary Energy","Residential"
"484",200805,358.021,"Primary Energy","Residential"
"485",200806,258.106,"Primary Energy","Residential"
"486",200807,230.161,"Primary Energy","Residential"
"487",200808,219.439,"Primary Energy","Residential"
"488",200809,229.987,"Primary Energy","Residential"
"489",200810,358.251,"Primary Energy","Residential"
"490",200811,607.267,"Primary Energy","Residential"
"491",200812,1016.781,"Primary Energy","Residential"
"492",200813,6889.408,"Primary Energy","Residential"
"493",200901,1193.633,"Primary Energy","Residential"
"494",200902,958.004,"Primary Energy","Residential"
"495",200903,790.963,"Primary Energy","Residential"
"496",200904,540.24,"Primary Energy","Residential"
"497",200905,319.558,"Primary Energy","Residential"
"498",200906,245.754,"Primary Energy","Residential"
"499",200907,226.488,"Primary Energy","Residential"
"500",200908,221.244,"Primary Energy","Residential"
"501",200909,235.905,"Primary Energy","Residential"
"502",200910,391.531,"Primary Energy","Residential"
"503",200911,525.295,"Primary Energy","Residential"
"504",200912,990.179,"Primary Energy","Residential"
"505",200913,6637.391,"Primary Energy","Residential"
"506",201001,1173.864,"Primary Energy","Residential"
"507",201002,1013.918,"Primary Energy","Residential"
"508",201003,751.929,"Primary Energy","Residential"
"509",201004,442.45,"Primary Energy","Residential"
"510",201005,320.743,"Primary Energy","Residential"
"511",201006,251.123,"Primary Energy","Residential"
"512",201007,220.746,"Primary Energy","Residential"
"513",201008,211.883,"Primary Energy","Residential"
"514",201009,219.797,"Primary Energy","Residential"
"515",201010,336.526,"Primary Energy","Residential"
"516",201011,614.54,"Primary Energy","Residential"
"517",201012,1084.526,"Primary Energy","Residential"
"518",201013,6640.592,"Primary Energy","Residential"
"519",201101,1191.842,"Primary Energy","Residential"
"520",201102,964.492,"Primary Energy","Residential"
"521",201103,766.316,"Primary Energy","Residential"
"522",201104,468.214,"Primary Energy","Residential"
"523",201105,310.854,"Primary Energy","Residential"
"524",201106,236.829,"Primary Energy","Residential"
"525",201107,216.267,"Primary Energy","Residential"
"526",201108,224.41,"Primary Energy","Residential"
"527",201109,238.509,"Primary Energy","Residential"
"528",201110,363.633,"Primary Energy","Residential"
"529",201111,595.311,"Primary Energy","Residential"
"530",201112,897.632,"Primary Energy","Residential"
"531",201113,6473.068,"Primary Energy","Residential"
"532",201201,989.638,"Primary Energy","Residential"
"533",201202,830.092,"Primary Energy","Residential"
"534",201203,543.901,"Primary Energy","Residential"
"535",201204,395.883,"Primary Energy","Residential"
"536",201205,267.953,"Primary Energy","Residential"
"537",201206,220.468,"Primary Energy","Residential"
"538",201207,203.15,"Primary Energy","Residential"
"539",201208,209.704,"Primary Energy","Residential"
"540",201209,215.582,"Primary Energy","Residential"
"541",201210,351.676,"Primary Energy","Residential"
"542",201211,623.387,"Primary Energy","Residential"
"543",201212,833.586,"Primary Energy","Residential"
"544",201213,5684.253,"Primary Energy","Residential"
"545",201301,1100.62,"Primary Energy","Residential"
"546",201302,955.937,"Primary Energy","Residential"
"547",201303,861.392,"Primary Energy","Residential"
"548",201304,518.288,"Primary Energy","Residential"
"549",201305,312.58,"Primary Energy","Residential"
"550",201306,226.967,"Primary Energy","Residential"
"551",201307,211.726,"Primary Energy","Residential"
"552",201308,214.55,"Primary Energy","Residential"
"553",201309,228.185,"Primary Energy","Residential"
"554",201310,342.054,"Primary Energy","Residential"
"555",201311,674.106,"Primary Energy","Residential"
"556",201312,1043.565,"Primary Energy","Residential"
"557",201313,6688.801,"Primary Energy","Residential"
"558",201401,1272.039,"Primary Energy","Residential"
"559",201402,1068.47,"Primary Energy","Residential"
"560",201403,903.989,"Primary Energy","Residential"
"561",201404,492.683,"Primary Energy","Residential"
"562",201405,334.686,"Primary Energy","Residential"
"563",201406,240.154,"Primary Energy","Residential"
"564",201407,224.264,"Primary Energy","Residential"
"565",201408,216.568,"Primary Energy","Residential"
"566",201409,247.346,"Primary Energy","Residential"
"567",201410,356.317,"Primary Energy","Residential"
"568",201411,728.224,"Primary Energy","Residential"
"569",201412,923.048,"Primary Energy","Residential"
"570",201413,7006.286,"Primary Energy","Residential"
"571",201501,1177.964,"Primary Energy","Residential"
"572",201502,1124.655,"Primary Energy","Residential"
"573",201503,820.845,"Primary Energy","Residential"
"574",201504,452.693,"Primary Energy","Residential"
"575",201505,298.91,"Primary Energy","Residential"
"576",201506,219.507,"Primary Energy","Residential"
"577",201507,207.404,"Primary Energy","Residential"
"578",201508,207.344,"Primary Energy","Residential"
"579",201509,210.081,"Primary Energy","Residential"
"580",201510,359.487,"Primary Energy","Residential"
"581",201511,587.961,"Primary Energy","Residential"
"582",201512,798.934,"Primary Energy","Residential"
"583",201513,6464.628,"Primary Energy","Residential"
"584",201601,1091.218,"Primary Energy","Residential"
"585",201602,874.475,"Primary Energy","Residential"
"586",201603,609.867,"Primary Energy","Residential"
"587",201604,462.517,"Primary Energy","Residential"
"588",201605,312.797,"Primary Energy","Residential"
"589",201606,219.234,"Primary Energy","Residential"
"590",201607,205.115,"Primary Energy","Residential"
"591",201608,192.338,"Primary Energy","Residential"
"592",201609,211.29,"Primary Energy","Residential"
"593",201610,314.696,"Primary Energy","Residential"
"594",201611,526.484,"Primary Energy","Residential"
"595",201612,1010.65,"Primary Energy","Residential"
"596",201613,6029.883,"Primary Energy","Residential"
"597",201701,1040.96,"Primary Energy","Residential"
"598",201702,743.251,"Primary Energy","Residential"
"599",201703,749.895,"Primary Energy","Residential"
"600",201704,408.727,"Primary Energy","Residential"
"601",201705,313.796,"Primary Energy","Residential"
