,Value,energy_type,sector,Year,Month
1,989.638,Primary Energy,Residential,2012,Jan
2,830.092,Primary Energy,Residential,2012,Feb
3,543.901,Primary Energy,Residential,2012,Mar
4,395.883,Primary Energy,Residential,2012,Apr
5,267.953,Primary Energy,Residential,2012,May
6,220.468,Primary Energy,Residential,2012,Jun
7,203.15,Primary Energy,Residential,2012,Jul
8,209.704,Primary Energy,Residential,2012,Aug
9,215.582,Primary Energy,Residential,2012,Sep
10,351.676,Primary Energy,Residential,2012,Oct
11,623.387,Primary Energy,Residential,2012,Nov
12,833.586,Primary Energy,Residential,2012,Dec
13,1100.62,Primary Energy,Residential,2013,Jan
14,955.937,Primary Energy,Residential,2013,Feb
15,861.392,Primary Energy,Residential,2013,Mar
16,518.288,Primary Energy,Residential,2013,Apr
17,312.58,Primary Energy,Residential,2013,May
18,226.967,Primary Energy,Residential,2013,Jun
19,211.726,Primary Energy,Residential,2013,Jul
20,214.55,Primary Energy,Residential,2013,Aug
21,228.185,Primary Energy,Residential,2013,Sep
22,342.054,Primary Energy,Residential,2013,Oct
23,674.106,Primary Energy,Residential,2013,Nov
24,1043.565,Primary Energy,Residential,2013,Dec
25,1272.039,Primary Energy,Residential,2014,Jan
26,1068.47,Primary Energy,Residential,2014,Feb
27,903.989,Primary Energy,Residential,2014,Mar
28,492.683,Primary Energy,Residential,2014,Apr
29,334.686,Primary Energy,Residential,2014,May
30,240.154,Primary Energy,Residential,2014,Jun
31,224.264,Primary Energy,Residential,2014,Jul
32,216.568,Primary Energy,Residential,2014,Aug
33,247.346,Primary Energy,Residential,2014,Sep
34,356.317,Primary Energy,Residential,2014,Oct
35,728.224,Primary Energy,Residential,2014,Nov
36,923.048,Primary Energy,Residential,2014,Dec
37,1177.964,Primary Energy,Residential,2015,Jan
38,1124.655,Primary Energy,Residential,2015,Feb
39,820.845,Primary Energy,Residential,2015,Mar
40,452.693,Primary Energy,Residential,2015,Apr
41,298.91,Primary Energy,Residential,2015,May
42,219.507,Primary Energy,Residential,2015,Jun
43,207.404,Primary Energy,Residential,2015,Jul
44,207.344,Primary Energy,Residential,2015,Aug
45,210.081,Primary Energy,Residential,2015,Sep
46,359.487,Primary Energy,Residential,2015,Oct
47,587.961,Primary Energy,Residential,2015,Nov
48,798.934,Primary Energy,Residential,2015,Dec
49,1091.218,Primary Energy,Residential,2016,Jan
50,874.475,Primary Energy,Residential,2016,Feb
