,text,clean_text,neg,neu,pos,compound
10,New US bill demands Bitcoin miners declare energy consumption https://t.co/7bRPj0mdFV,new bill demand bitcoin miner declare energy consumption,0.037,0.674,0.289,0.9938
11,New US bill demands Bitcoin miners declare energy consumption https://t.co/kdGiFpu1t2,new bill demand bitcoin miner declare energy consumption,0.042,0.672,0.286,0.994
12,"@JustCanadian7 @RobCairns10 @LouisGeorgeVonB @jasonhickel 2021 primary energy consumption 175,000 TWhr

1.75 x 10^17 Whr

3600 sec/hr

6.3 x 10^20 J primary consumption per year

2/",justcanadian robcairns louisgeorgevonb jasonhickel primary energy consumption twhr x ^ whr sec hr x ^ j primary consumption year,0.039,0.683,0.278,0.9944
13,RT @TimModise: Ministers and #Eskom board members have free generators at their homes? #Loadshedding stage 6 for us all. Unreal 😩 No wonder…,rt timmodise ministers eskom board member free generator home loadshedde stage unreal wonder,0.037,0.689,0.274,0.995
14,"Ankara has been expanding gas pipelines for a long time.
But not for domestic consumption, but with the aim of becoming an energy hub and transferring gas to other countries.
#Energy
#Turkey
#Russia
#Gas",ankara expand gas pipeline long time domestic consumption aim energy hub transfer gas country energy turkey russia gas,0.034,0.689,0.276,0.9958
15,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.033,0.696,0.271,0.996
16,"@JohnStossel You say it as if the only action being asked for is us to drive electric cars... Climate activists are working towards:
- greener energy generation 
- less consumption
- reduce flying - invest in mass public transportation
- reduce meat consumption
It's not happening in isolation",johnstossel action ask drive electric car climate activist work greener energy generation consumption reduce fly invest mass public transportation reduce meat consumption happen isolation,0.038,0.706,0.256,0.9959
17,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.037,0.711,0.252,0.9961
18,@stmiteva energy consumption and loss of precious time in their lives! what do they think they will achieve with this?,stmiteva energy consumption loss precious time life think achieve,0.042,0.7,0.259,0.9965
19,RT @AltcoinDailyio: The same people who FUD #Bitcoin energy consumption do THIS 👇🎄 https://t.co/X9yG7YFs6I,rt altcoindailyio people fud bitcoin energy consumption,0.046,0.696,0.258,0.9965
20,"RT @arduino: Monitor your energy consumption through the Arduino IoT Cloud using a MKR WiFi 1010, a MKR 485 Shield, and a Modbus-compatible…",rt arduino monitor energy consumption arduino iot cloud mkr wifi mkr shield modbus compatible,0.045,0.702,0.253,0.9967
21,RT @DigiEconomist: My latest research shows that Ethereum’s merge reduced the network’s energy consumption by at least 99.84%! It's time fo…,rt digieconomist late research show ethereum merge reduce network energy consumption time fo,0.043,0.707,0.25,0.9968
22,"14% by which total global energy consumption has increased over the last decade. 

11% by which total global population increased during that same period. 

6% by which total global carbon emissions from energy use increased over the decade.

https://t.co/bYj4mXO4ge",total global energy consumption increase decade total global population increase period total global carbon emission energy use increase decade,0.041,0.699,0.261,0.9975
23,"Prometheus Bound, or Where’s My Flying Car? Sometime in the 1970s, energy consumption falls off the Henry Adams curve of exponential growth. Diminishing returns? Eco-consciousness? Failure of nerve? World of today is not 1950/60s world of tomorrow. https://t.co/1ezeReycmf https://t.co/su41LbHsKo",prometheus bind s fly car s energy consumption fall henry adams curve exponential growth diminish return eco consciousness failure nerve world today s world tomorrow,0.045,0.699,0.256,0.9975
24,New US bill demands Bitcoin miners declare energy consumption https://t.co/VmUSSf9rwJ,new bill demand bitcoin miner declare energy consumption,0.048,0.697,0.255,0.9976
25,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.046,0.701,0.252,0.9977
26,https://t.co/jVpPjVKIS2 #renewableenergy #energy #energyproduction #America #China #electricity #windenergy #solarenergy #hydroenergy #renewables #renewablepower #Russia #Germany #Africa #India #Canada #Brazil #Europe #Asia #Oceania #SouthAmerica #Latam #Japan #Turkey #Norway https://t.co/AmLiALUWSM,renewableenergy energy energyproduction america china electricity windenergy solarenergy hydroenergy renewables renewablepower russia germany africa india canada brazil europe asia oceania southamerica latam japan turkey norway,0.044,0.713,0.243,0.9978
27,How does AI energy consumption compare to crypto/NFTs?,ai energy consumption compare crypto nft,0.043,0.712,0.244,0.9978
28,"RT @garquake: India's fuel consumption, a proxy for oil demand, rose 10.2% year-on-year in November to 18.84 million tonnes, data from the…",rt garquake indias fuel consumption proxy oil demand rise year year november million tonne datum,0.045,0.718,0.237,0.9978
29,"@skdh @JohnWFarrell In that energy that does not avoid consumption is broken down into hyperbolic states. That just dissipate into the fields that make up dark energy, which is probably not visible on the light spectrum and just made out of a shit ton of black holes😂. To be quite honest.",skdh johnwfarrell energy avoid consumption break hyperbolic state dissipate field dark energy probably visible light spectrum shit ton black hole honest,0.053,0.709,0.238,0.9979
30,@skdh @JohnWFarrell This is the best explanation for both gravity and dark energy in that everything in the universe is evolving to conserve angular momentum. Why is this? Well looking at everything in the known universe we can say with high certainty that it is to avoid consumption.,skdh johnwfarrell good explanation gravity dark energy universe evolve conserve angular momentum look know universe high certainty avoid consumption,0.055,0.705,0.24,0.998
31,"The process of Bitcoin mining is very secure, but it demands enormous computing power and energy consumption as users essentially “burn money” to solve the computational puzzle that earns them more Bitcoin.
https://t.co/MtP4kjnsCZ

#PiNetwork
#PiPayment",process bitcoin mining secure demand enormous computing power energy consumption user essentially burn money solve computational puzzle earn bitcoin pinetwork pipayment,0.055,0.704,0.241,0.9982
32,"Theory of rotating #Windturbine Number 439 🔼🌪️
[ Resource Depletion ]
A W🌏rlds requires 23,900 TWh of consumption. A #SynchronousTurbine is created to use less #ResourceDepletion. Where as only one per Country, or ultimately one per planet is required for total @ENERGY output⚡️ https://t.co/HLf1nAHUUV",theory rotate windturbine number resource depletion wrld require twh consumption synchronousturbine create use resourcedepletion country ultimately planet require total energy output,0.053,0.707,0.24,0.9983
33,"RT @axios: The International Energy Agency is projecting a ""noticeable peak in overall fossil fuel consumption within this decade"" under na…",rt axios international energy agency project noticeable peak overall fossil fuel consumption decade na,0.051,0.71,0.238,0.9984
34,"RT @remote_work_io: Remote work is the ultimate environmental policy!

- Reduced car traffic
- Reduced business travel
- Less crowded publi…",rt remoteworkio remote work ultimate environmental policy reduce car traffic reduce business travel crowded publi,0.05,0.717,0.233,0.9984
35,"RT @ColumbiaUEnergy: India is ranked 3rd globally in carbon emissions, having emitted 2.7 billion metric tons of CO2 in 2021. The country’s…",rt columbiauenergy india rank rd globally carbon emission having emit billion metric ton co country,0.049,0.723,0.228,0.9984
36,@elonmusk They have to. They need to slow economic activity to lower energy consumption to meet Biden/WEF global energy debacle.,elonmusk need slow economic activity lower energy consumption meet biden wef global energy debacle,0.051,0.721,0.228,0.9984
37,RT @DigiEconomist: My latest research shows that Ethereum’s merge reduced the network’s energy consumption by at least 99.84%! It's time fo…,rt digieconomist late research show ethereum merge reduce network energy consumption time fo,0.05,0.724,0.226,0.9985
38,RT @erewhon4ever: some of my FB 'friends' are apparently volunteer social credit shock troops policing my home-heating choices &amp; energy con…,rt erewhonever fb friend apparently volunteer social credit shock troop police home heating choice energy con,0.052,0.718,0.23,0.9986
39,"@StefanieBe_ Leaving a light on for months?? Hell no!! The energy consumption!!! 😤 If you want that feeling, give your house key to a friend and ask them to turn on the light for you when you are going to arrive from a long trip or if they can, they wait for you home",stefaniebe leave light month hell energy consumption want feeling house key friend ask turn light go arrive long trip wait home,0.058,0.71,0.232,0.9986
40,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.057,0.712,0.231,0.9987
41,RT @AHQ300: President of #Pakistan 🇵🇰Dr.Arif Alvi has urged the need to bring about an attitudinal shift from rapid consumption to conservi…,rt ahq president pakistan dr arif alvi urge need bring attitudinal shift rapid consumption conservi,0.056,0.718,0.226,0.9987
42,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.055,0.72,0.225,0.9987
43,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.054,0.722,0.224,0.9987
44,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.053,0.724,0.223,0.9988
45,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.052,0.725,0.222,0.9988
46,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.051,0.727,0.221,0.9988
47,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.051,0.729,0.22,0.9989
48,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.05,0.731,0.22,0.9989
49,"@F2wCSCOCPISOgLn @_alexbrogan Saved! Here's the compiled thread: https://t.co/jGA35dWEbU

🪄 AI-generated summary:

""The 14 most important technology trends are: Applied Artificial Intelligence, Advanced Connectivity, Bioengineering, Clean Energy, Mobility, Sustainable Consumption, Web3,...",fwcscocpisogln alexbrogan save here compile thread ai generate summary important technology trend apply artificial intelligence advance connectivity bioengineere clean energy mobility sustainable consumption web,0.048,0.726,0.226,0.9991
50,@AngantyrFS interesting that productivity has continued to rise even with declining energy consumption,angantyrfs interesting productivity continue rise decline energy consumption,0.048,0.724,0.229,0.9991
51,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.047,0.725,0.228,0.9992
52,He celebrated by collapsing into a coma induced by sleep depravation and extreme sugar crash due to excessive consumption of energy drinks and is in critical but stable condition. &gt;w&gt; https://t.co/bQZN2esFNb,celebrate collapse coma induce sleep depravation extreme sugar crash excessive consumption energy drink critical stable condition > w >,0.054,0.716,0.23,0.9992
53,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.053,0.718,0.229,0.9992
54,RT @tdavidbanks: Our population may be rising but change in our resource and energy consumption can provide solutions for the climate and b…,rt tdavidbank population rise change resource energy consumption provide solution climate b,0.053,0.717,0.23,0.9992
55,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.052,0.719,0.229,0.9992
56,"RT @judgeyourself99: Weather is currently below freezing, yet all I see are adverts telling us to reduce energy consumption. Reduce the pri…",rt judgeyourself weather currently freeze advert tell reduce energy consumption reduce pri,0.051,0.719,0.229,0.9993
57,RT @AltcoinDailyio: The same people who FUD #Bitcoin energy consumption do THIS 👇🎄 https://t.co/X9yG7YFs6I,rt altcoindailyio people fud bitcoin energy consumption,0.053,0.718,0.229,0.9993
58,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.052,0.719,0.229,0.9993
59,"RT @ECOWARRIORSS: BBC desire to end traditional/Terrestrial  TV and replace it with internet/streaming video only, will fuel carbon emissio…",rt ecowarriorss bbc desire end traditional terrestrial tv replace internet streaming video fuel carbon emissio,0.051,0.721,0.228,0.9993
60,"RT @violin4all: ""One hour of viewing TV via terrestrial
networks has an energy consumption of 9.1Wh. For
streaming, this is 54Wh""",rt violinall hour view tv terrestrial network energy consumption wh stream wh,0.051,0.722,0.227,0.9993
61,"RT @YanQinyq: 📈Analysis of China Energy demand in 2022 and 2023 outlook

Researchers at State Grid estimate:
🇨🇳 Energy consumption +2.5% to…",rt yanqinyq analysis china energy demand outlook researcher state grid estimate energy consumption +,0.051,0.721,0.227,0.9993
62,"RT @EricssonAPAC: Just in! 

Explore how we are working jointly with @Singtel to deploy Singapore’s🇸🇬 most energy-efficient radio cell on i…",rt ericssonapac explore work jointly singtel deploy singapore energy efficient radio cell,0.051,0.721,0.229,0.9994
63,RT @CoveringClimate: @antonioguterres Large tech companies are making the climate crisis worse due to their massive energy consumption and…,rt coveringclimate antonioguterre large tech company make climate crisis bad massive energy consumption,0.057,0.717,0.227,0.9993
64,"RT @CRCCNews: #TriptoGreen This Sino-German Eco-City Exhibition Hall is the first ""zero energy consumption"" building in #Tianjin, relying o…",rt crccnews triptogreen sino german eco city exhibition hall zero energy consumption building tianjin rely o,0.056,0.719,0.225,0.9993
65,"@RepHuffman @SenMarkey Crypto and it's growth has brought out the most psychotic of actors who look to predate on the most vulnerable and consumption is the problem of the modern age.

Meanwhile, #Bitcoin  is transforming the way we use energy, and incentivising saving. Its time to educate yourself.",rephuffman senmarkey crypto growth bring psychotic actor look predate vulnerable consumption problem modern age bitcoin transform way use energy incentivising save time educate,0.058,0.716,0.226,0.9994
66,"@CelebJets @elonmusk would be interesting to know how much energy consumption these controversial tweets use across not just twitter, but isp servers as well",celebjet elonmusk interesting know energy consumption controversial tweet use twitter isp server,0.059,0.714,0.227,0.9994
67,Same People who FUD about #Bitcoin excess energy consumption do this..😅 #lifecentric https://t.co/vpEhuvrafy,people fud bitcoin excess energy consumption lifecentric,0.06,0.712,0.227,0.9994
68,"RT @violin4all: ""One hour of viewing TV via terrestrial
networks has an energy consumption of 9.1Wh. For
streaming, this is 54Wh""",rt violinall hour view tv terrestrial network energy consumption wh stream wh,0.06,0.714,0.226,0.9994
69,RT @DigiEconomist: My latest research shows that Ethereum’s merge reduced the network’s energy consumption by at least 99.84%! It's time fo…,rt digieconomist late research show ethereum merge reduce network energy consumption time fo,0.059,0.715,0.226,0.9994
70,RT @DigiEconomist: My latest research shows that Ethereum’s merge reduced the network’s energy consumption by at least 99.84%! It's time fo…,rt digieconomist late research show ethereum merge reduce network energy consumption time fo,0.058,0.717,0.225,0.9994
71,"USD 10+ million dollar is spent on power consumption daily to keep #bitcoin network going. How does it look for other coins ? If you think it is bad to spend energy, then you should consider turning off heaters during winter, disconnect security monitors, etc etc.",usd + million dollar spend power consumption daily bitcoin network go look coin think bad spend energy consider turn heater winter disconnect security monitor etc etc,0.06,0.717,0.223,0.9994
72,RT @DigiEconomist: My latest research shows that Ethereum’s merge reduced the network’s energy consumption by at least 99.84%! It's time fo…,rt digieconomist late research show ethereum merge reduce network energy consumption time fo,0.059,0.719,0.222,0.9994
73,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.059,0.72,0.221,0.9994
74,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.058,0.721,0.221,0.9994
75,"The hydrocarbons in hemp can be processed into a wide range of biomass energy sources, from fuel pellets to liquid fuels and gas. Development of bio-fuels could significantly reduce our consumption of fossil fuels and nuclear power.
Legalise Hemp

Marijuana
#HempSiBangi",hydrocarbon hemp process wide range biomass energy source fuel pellet liquid fuel gas development bio fuel significantly reduce consumption fossil fuel nuclear power legalise hemp marijuana hempsibangi,0.057,0.726,0.218,0.9995
76,"RT @DerbySymes: @nytimes Kill demand. The quicker each of us switches to fossil fuel alternatives in EVERY aspect of life (transportation,…",rt derbysyme nytime kill demand quick switch fossil fuel alternative aspect life transportation,0.061,0.724,0.215,0.9994
77,"""One hour of viewing TV via terrestrial
networks has an energy consumption of 9.1Wh. For
streaming, this is 54Wh"" https://t.co/C6xXV1goLe",hour view tv terrestrial network energy consumption wh stream wh,0.06,0.725,0.215,0.9994
78,"WorkAdventureってPhaser3がコアなんだ。

https://t.co/PKdrbCAVeX",workadventurephaser,0.06,0.725,0.215,0.9994
79,"@SawyerMerritt How much is it going to cost for addressing seasonal fluctuation of solar and wind? 

Analysis based on attached plot using real data from CAISO tells us 16% of solar/wind capacity.

With 18,000kWh/household/year energy consumption in SoCal, we need &gt; 200 Powerwall or $2.5M https://t.co/sz6q8yqWpO",sawyermerritt go cost address seasonal fluctuation solar wind analysis base attached plot real datum caiso tell solar wind capacity kwh household year energy consumption socal need > powerwall < cur > m,0.059,0.73,0.212,0.9994
80,"RT @ApprenticeXrp: @ProCoinNews BTC will never get to $250,000. It's a MEME high energy consumption token, useless piece of old tech. That…",rt apprenticexrp procoinnew btc < cur > meme high energy consumption token useless piece old tech,0.06,0.729,0.21,0.9994
81,"#BTC  is propped up by tether and about to go bust.. along w the energy consumption ban on energy extensive cryptos (proof of work)

Id like to know on record if Layah holds any $xrp considering she stated ripple will lose against the SEC… 

Once #BTC loses the #1 spot it’s over https://t.co/3wPxVtb2PQ",btc prop tether bust w energy consumption ban energy extensive crypto proof work d like know record layah hold < cur > xrp consider state ripple lose sec btc lose spot,0.065,0.725,0.21,0.9994
82,"@LayahHeilpern #BTC is propped up by tether and about to go bust.. along with the energy consumption ban on energy extensive cryptos (proof of work)

Id like to know on record if you hold any $xrp considering you stated ripple will lose against the SEC",layahheilpern btc prop tether bust energy consumption ban energy extensive crypto proof work d like know record hold < cur > xrp consider state ripple lose sec,0.068,0.723,0.21,0.9994
83,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.067,0.724,0.209,0.9994
84,"RT @ECOWARRIORSS: UK much worse than opening a new coal plant
BBC plans to go internet/streaming TV only
TV viewing is a relatively low sou…",rt ecowarriorss uk bad open new coal plant bbc plan internet streaming tv tv viewing relatively low sou,0.07,0.724,0.206,0.9994
85,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.069,0.725,0.206,0.9994
86,U.S. Energy Consumption by Fuel (1980-2030): AC Writing Task 1 https://t.co/WNCynIK4EG,u s energy consumption fuel ac write task,0.069,0.725,0.206,0.9994
87,"Tesla builds an energy product offering that covers everything from energy production, with its solar products, to energy storage, with its Powerwall, to energy consumption, with its electric vehicles.

A perfect customer for the company would own all of those products",tesla build energy product offering cover energy production solar product energy storage powerwall energy consumption electric vehicle perfect customer company product,0.068,0.722,0.21,0.9995
88,"RT @TheTradingEngin: Rotor sails are a technology that provides auxiliary propulsion to ships using renewable #energy from the wind. 

This…",rt thetradingengin rotor sail technology provide auxiliary propulsion ship renewable energy wind,0.067,0.723,0.21,0.9995
89,"@GWIngredients Hello,we are a professional enterprise committed in the field of heat exchange,evaporation system,energy saving and environmental protection over 20 years. I believe that our equipment can help you reduce energy consumption and improve production capacity.+86 13851478614(Kitty)",gwingredient hello professional enterprise commit field heat exchange evaporation system energy saving environmental protection year believe equipment help reduce energy consumption improve production capacity + kitty,0.066,0.721,0.213,0.9995
90,"Energy consumption is a good thing

Proof of your work ;)",energy consumption good thing proof work,0.065,0.719,0.215,0.9996
91,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.065,0.72,0.215,0.9996
92,"@hubermanlab @MiTenYo Can one correlate the relationship between the rise of caffeine consumption via coffee culture and energy drinks, and a rise in anxiety over the last 20 years (among other factors)?",hubermanlab mitenyo correlate relationship rise caffeine consumption coffee culture energy drink rise anxiety year factor,0.065,0.721,0.214,0.9996
93,"@elonmusk @SenatorSinema GOAT Stamina
Energy Drink

GOAT Stamina is an innovative multi-ingredient food supplement designed for gamers. A huge advantage of GOAT Stamina is its duration of action - even up to 6 hours after consumption! The product contains no sugar and does not 👇

https://t.co/BhfsefZvne",elonmusk senatorsinema goat stamina energy drink goat stamina innovative multi ingredient food supplement design gamer huge advantage goat stamina duration action hour consumption product contain sugar,0.064,0.717,0.219,0.9996
94,"@ACTBrigitte GOAT Stamina
Energy Drink

GOAT Stamina is an innovative multi-ingredient food supplement designed for gamers. A huge advantage of GOAT Stamina is its duration of action - even up to 6 hours after consumption! The product contains no sugar and does not 👇

https://t.co/BhfsefZvne",actbrigitte goat stamina energy drink goat stamina innovative multi ingredient food supplement design gamer huge advantage goat stamina duration action hour consumption product contain sugar,0.063,0.714,0.224,0.9997
95,"@hodgetwins @anieborden1 GOAT Stamina
Energy Drink

GOAT Stamina is an innovative multi-ingredient food supplement designed for gamers. A huge advantage of GOAT Stamina is its duration of action - even up to 6 hours after consumption! The product contains no sugar and does not 👇

https://t.co/BhfsefZvne",hodgetwin anieborden goat stamina energy drink goat stamina innovative multi ingredient food supplement design gamer huge advantage goat stamina duration action hour consumption product contain sugar,0.061,0.71,0.229,0.9997
96,"@RudyGiuliani GOAT Stamina
Energy Drink

GOAT Stamina is an innovative multi-ingredient food supplement designed for gamers. A huge advantage of GOAT Stamina is its duration of action - even up to 6 hours after consumption! The product contains no sugar and does not 👇

https://t.co/BhfsefZvne",rudygiuliani goat stamina energy drink goat stamina innovative multi ingredient food supplement design gamer huge advantage goat stamina duration action hour consumption product contain sugar,0.06,0.707,0.233,0.9997
97,"@brix_farm Hello,we are a professional enterprise committed in the field of heat exchange,evaporation system,energy saving and environmental protection over 20 years. I believe that our equipment can help you reduce energy consumption and improve production capacity.+86 13851478614(Kitty)",brixfarm hello professional enterprise commit field heat exchange evaporation system energy saving environmental protection year believe equipment help reduce energy consumption improve production capacity + kitty,0.059,0.705,0.236,0.9998
98,"@POTUS GOAT Stamina
Energy Drink

GOAT Stamina is an innovative multi-ingredient food supplement designed for gamers. A huge advantage of GOAT Stamina is its duration of action - even up to 6 hours after consumption! The product contains no sugar and does not 👇

https://t.co/BhfsefZvne",potus goat stamina energy drink goat stamina innovative multi ingredient food supplement design gamer huge advantage goat stamina duration action hour consumption product contain sugar,0.058,0.702,0.24,0.9998
99,"RT @Crypt0Jed1: 1/ IOEN is an Ethereum ERC-20 utility token used to transact energy value "" within and between microgrids: from the applian…",rt cryptjed ioen ethereum erc utility token transact energy value microgrid applian,0.058,0.702,0.24,0.9998
100,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.057,0.703,0.24,0.9998
101,"The Croatian team had an unfair advantage due to their consumption of arabesque gold-plated steaks, which gave them an energy boost that Brazil couldn't compete with. 
3. The Brazilian team was overconfident and didn't take the Croatian team seriously enough. 
 [2/5]",croatian team unfair advantage consumption arabesque gold plate steak give energy boost brazil not compete brazilian team overconfident not croatian team seriously,0.058,0.701,0.241,0.9998
102,"@crypto_pylon 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXjLUy",cryptopylon proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.057,0.702,0.241,0.9998
103,"@BTCPriceUp 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXAOWy",btcpriceup proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.057,0.703,0.241,0.9998
104,"@JustCanadian7 @RobCairns10 @LouisGeorgeVonB @jasonhickel 5.5 / 6.3 x 10^4 = 8730

Interesting. 2021 primary energy consumption is ~1 hour of solar radiation hitting the top of the earth's atmosphere.

Coal, oil and natural gas make up ~77% of that consumption.

3/

https://t.co/ZUjOmMFcCy",justcanadian robcairns louisgeorgevonb jasonhickel x ^ = interesting primary energy consumption ~ hour solar radiation hit earth atmosphere coal oil natural gas ~ consumption,0.056,0.702,0.242,0.9998
