,text,clean_text,neg,neu,pos,compound
0,"The Croatian team had an unfair advantage due to their consumption of arabesque gold-plated steaks, which gave them an energy boost that Brazil couldn't compete with. 
3. The Brazilian team was overconfident and didn't take the Croatian team seriously enough. 
 [2/5]",croatian team unfair advantage consumption arabesque gold plate steak give energy boost brazil not compete brazilian team overconfident not croatian team seriously,0.109,0.598,0.293,0.497
1,"@crypto_pylon 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXjLUy",cryptopylon proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.062,0.665,0.272,0.8135
2,"@BTCPriceUp 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXAOWy",btcpriceup proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.044,0.692,0.264,0.9121
3,"@JustCanadian7 @RobCairns10 @LouisGeorgeVonB @jasonhickel 5.5 / 6.3 x 10^4 = 8730

Interesting. 2021 primary energy consumption is ~1 hour of solar radiation hitting the top of the earth's atmosphere.

Coal, oil and natural gas make up ~77% of that consumption.

3/

https://t.co/ZUjOmMFcCy",justcanadian robcairns louisgeorgevonb jasonhickel x ^ = interesting primary energy consumption ~ hour solar radiation hit earth atmosphere coal oil natural gas ~ consumption,0.033,0.691,0.276,0.9579
4,"@BNB_Tracker 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXjLUy",bnbtracker proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.027,0.702,0.271,0.9723
5,"@yuugiriawano 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXjLUy",yuugiriawano proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.023,0.711,0.267,0.9805
6,"@coinok 📣🥳We are proud to announce a new token is born... CasolCoin is a community token that aims to change our energy consumption. Presale is coming soon...⏱️
#saveEarth

Website: https://t.co/sNBaVXAOWy",coinok proud announce new token bear casolcoin community token aim change energy consumption presale come soon saveearth website,0.02,0.716,0.264,0.9855
7,"Nowadays, blockchains are still undergoing significant upgrades.. for example? Cut energy consumption by consuming 99% less energy! 🍀

The future of Blockchain will see more functionality, lower costs, and more mainstream applications 🔜 https://t.co/vPieKM1OWJ",nowadays blockchain undergo significant upgrade example cut energy consumption consume energy future blockchain functionality low cost mainstream application,0.04,0.696,0.263,0.9865
8,"Incorporating functional fitness into your regime can increase quality of your life💪🏻
Join @CoachMitushi at #FitIndiaActiveSunday on Saturday 8:30 am to:
⭐Enhance movement efficiency
⭐Increase muscle coordination
⭐Develop postural strength &amp; control
⭐Reduce energy consumption https://t.co/BfIVmryAuf",incorporate functional fitness regime increase quality life join coachmitushi fitindiaactivesunday saturday enhance movement efficiency increase muscle coordination develop postural strength control reduce energy consumption,0.034,0.666,0.3,0.9932
9,"RT @hubermanlab: If caffeine gives you the jitters, take 100mg Theanine alongside it. This is actually the approach many energy drink (and…",rt hubermanlab caffeine give jitter mg theanine alongside actually approach energy drink,0.032,0.676,0.292,0.9936
